,SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent
34,COC(C=CN=C1)=C1/N=N/C2=CC=CC=C2,8.767799999999999e-09,toluene,90.0,87.0,332.0,11535.0,443.0,609.0,,,430.0,,,365,440,toluene
35,C1(/N=N/C2=CC=CC=C2)=CC=CN=C1,8.44478e-07,toluene,63.0,80.0,322.0,37246.0,448.0,923.0,,,440.0,,,365,440,toluene
36,CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.92541e-06,toluene,72.0,83.0,322.0,14151.0,455.0,328.0,,,436.0,,,365,440,toluene
37,CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,6.09307e-07,toluene,75.0,75.0,323.0,14964.0,453.0,530.0,,,442.0,,,365,440,toluene
38,IC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.6742700000000002e-06,toluene,81.0,81.0,330.0,14540.0,,,,,432.0,,,365,440,toluene
39,CN(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,6.211e-06,toluene,63.0,63.0,313.0,7580.0,404.0,5310.0,,,400.0,,,365,440,toluene
40,O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,9.8739e-07,toluene,100.0,100.0,375.0,,450.0,,,,450.0,,,600,430,toluene
41,O=C(COC1=C(/N=N\C2=C(OC3)C=CC=C2)C=CC=C1)O[C@H]4[C@H](OCC5=CC=CC=C5)[C@@H](OCC6=CC=CC=C6)[C@H](SC7=CC=CC=C7)O[C@@H]4COC3=O,1.573046e-07,MeCN,95.0,53.0,310.0,,460.0,,,,,,,365,435,MeCN
42,CC1=C(C(C)=NN1)/N=N/C2=C(F)C=CC=C2,4.55e-05,,90.0,75.0,334.0,,418.0,,287.0,,442.0,,,365,CFL white light,MeCN
43,CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,0.00185,,87.0,74.0,334.0,,417.0,,292.0,,437.0,,,365,CFL white light,MeCN
44,CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,0.00162,,85.0,96.0,330.0,,426.0,,293.0,,436.0,,,365,CFL white light,MeCN
45,CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,0.00403,,84.0,86.0,339.0,,426.0,,292.0,,432.0,,,365,CFL white light,MeCN
46,CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,0.0114,,80.0,77.0,336.0,,418.0,,290.0,,418.0,,,365,CFL white light,MeCN
47,CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,0.0016699999999999998,,90.0,94.0,336.0,,430.0,,295.0,,439.0,,,365,CFL white light,MeCN
48,CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,0.0042899999999999995,,88.0,72.0,340.0,,424.0,,289.0,,431.0,,,365,CFL white light,MeCN
49,CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,0.0587,,86.0,73.0,335.0,,416.0,,296.0,,437.0,,,365,CFL white light,MeCN
50,CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,0.00179,,92.0,72.0,337.0,,416.0,,293.0,,440.0,,,365,CFL white light,MeCN
51,CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,0.00288,,86.0,69.0,330.0,,412.0,,292.0,,437.0,,,365,CFL white light,MeCN
52,CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,0.32799999999999996,,41.0,87.0,335.0,,428.0,,327.0,,437.0,,,365,CFL white light,MeCN
53,CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,0.00265,,83.0,86.0,332.0,,419.0,,294.0,,436.0,,,365,CFL white light,MeCN
54,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,0.0296,,79.0,80.0,334.0,,392.0,,297.0,,436.0,,,365,CFL white light,MeCN
55,CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,0.0010400000000000001,,92.0,56.0,350.0,,421.0,,294.0,,436.0,,,365,CFL white light,MeCN
56,CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,0.00297,,85.0,65.0,330.0,,419.0,,292.0,,437.0,,,365,CFL white light,MeCN
57,CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,0.0012,,92.0,68.0,342.0,,403.0,,301.0,,441.0,,,365,CFL white light,MeCN
58,CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,0.00692,,92.0,80.0,336.0,,423.0,,292.0,,435.0,,,365,CFL white light,MeCN
59,CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,0.00199,,88.0,61.0,331.0,,419.0,,292.0,,441.0,,,365,CFL white light,MeCN
60,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,0.00145,,90.0,73.0,335.0,,416.0,,295.0,,437.0,,,365,CFL white light,MeCN
61,CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,0.0304,,81.0,65.0,332.0,,419.0,,295.0,,435.0,,,365,CFL white light,MeCN
62,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(O)=O)C=C2,0.0441,,83.0,81.0,342.0,,410.0,,300.0,,441.0,,,365,CFL white light,MeCN
63,CC1=C(C(C)=NN1)/N=N/C2=CC(NC(C)=O)=CC=C2,0.0544,,86.0,78.0,329.0,,423.0,,285.0,,438.0,,,365,CFL white light,MeCN
64,CC1=C(C(C)=NN1)/N=N/C2=CC=C(NC(C)=O)C=C2,0.00144,,91.0,68.0,350.0,,410.0,,303.0,,445.0,,,365,CFL white light,MeCN
65,CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,,,65.0,81.0,315.0,,422.0,,302.0,,428.0,,,,,
66,CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,,,48.0,80.0,321.0,,416.0,,313.0,,422.0,,,,,
67,CC1=NOC(C)=C1/N=N/C2=CC(F)=CC=C2,,,,,315.0,,421.0,,309.0,,428.0,,,,,
68,CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,,,,,318.0,,421.0,,296.0,,428.0,,,,,
69,CC1=NOC(C)=C1/N=N/C2=C(Cl)C=CC=C2,,,,,321.0,,424.0,,304.0,,426.0,,,,,
70,CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,,,,,315.0,,425.0,,294.0,,429.0,,,,,
71,CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,,,,,323.0,,423.0,,294.0,,429.0,,,,,
72,CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,,,,,321.0,,428.0,,310.0,,428.0,,,,,
73,CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,,,,,315.0,,423.0,,306.0,,429.0,,,,,
74,CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,,,,,325.0,,421.0,,295.0,,432.0,,,,,
75,CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,,,,,330.0,,424.0,,295.0,,432.0,,,,,
76,CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,,,,,313.0,,418.0,,288.0,,432.0,,,,,
77,CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,,,,,314.0,,418.0,,308.0,,426.0,,,,,
78,CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,,,,,312.0,,425.0,,309.0,,429.0,,,,,
79,CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,,,,,311.0,,414.0,,285.0,,426.0,,,,,
80,CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,,,,,312.0,,423.0,,289.0,,430.0,,,,,
81,CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,,,,,337.0,,403.0,,309.0,,434.0,,,,,
82,CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,,,,,318.0,,421.0,,318.0,,415.0,,,,,
83,CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,332.0,,431.0,,295.0,,436.0,,,,,
84,CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,,,,,323.0,,420.0,,308.0,,430.0,,,,,
85,CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,,,,,315.0,,429.0,,295.0,,429.0,,,,,
86,CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,,,,,342.0,,416.0,,315.0,,437.0,,,,,
87,CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,,,,,362.0,,439.0,,342.0,,440.0,,,,,
88,CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,,,,,320.0,,430.0,,298.0,,427.0,,,,,
89,CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,,,,,297.0,,429.0,,292.0,,421.0,,,,,
90,CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,,,,,324.0,,420.0,,323.0,,420.0,,,,,
91,CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,,,,,328.0,,417.0,,287.0,,422.0,,,,,
92,CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,,,,,309.0,,419.0,,305.0,,419.0,,,,,
93,CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,,,,,315.0,,417.0,,297.0,,429.0,,,,,
94,CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,,,,,315.0,,373.0,,290.0,,428.0,,,,,
95,CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,,,,,325.0,,431.0,,304.0,,434.0,,,,,
96,CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,,,,,316.0,,421.0,,311.0,,429.0,,,,,
97,CC1=CC=C(/N=N/C2=CC=CS2)C=C1,,,,,365.0,,450.0,,285.0,,450.0,,,,,
